,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0058,6.5358,6.9601,-0.0495,6.7353,7.1277,-0.0204,0.0038,-0.0019,-0.0005,-0.0062,0.0063,6921,16.57,-40.72,-22.34,229.07,-43.38,0.4,5,44.669,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,2,2020-02-14 12:43:52:460
0.8337,6.4996,6.9858,0.0102,6.7393,7.124,0.4618,0.0514,-0.0502,0.0058,0.026,0.0156,7443,16.95,-40.79,-22.17,229.24,-43.41,-0.08,5,47.399,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,503,2020-02-14 12:43:52:961
-0.6643,6.7796,6.7937,0.0239,6.7383,7.1249,0.062,-0.183,0.187,-0.0198,-0.0075,-0.0049,8039,16.74,-40.89,-22.42,229.2,-43.36,-0.23,5,47.544,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,1003,2020-02-14 12:43:53:461
0.1216,6.6451,6.9612,0.0627,6.7341,7.1287,0.1082,0.1138,-0.129,-0.0108,0.0142,-0.0117,7676,16.66,-40.88,-22.5,230.63,-43.37,-0.5,5,47.273,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,1502,2020-02-14 12:43:53:960
0.0233,6.6238,6.8678,0.0294,6.7377,7.1255,0.0267,0.0166,-0.0217,0.0016,-0.0025,-0.0094,7512,16.73,-40.79,-22.2,229.22,-43.38,-0.23,5,46.008,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,2002,2020-02-14 12:43:54:460
0.097,6.9023,6.6577,0.0233,6.7266,7.136,-0.1564,-0.07,0.1608,0.0013,0.0052,0.0062,7448,16.88,-40.69,-22.35,229.11,-43.31,-0.19,5,48.535,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,2502,2020-02-14 12:43:54:960
-0.0377,6.6447,6.8688,0.0057,6.725,7.1376,-0.1528,0.0972,-0.0501,-0.0063,-0.0071,-0.0058,7371,17.06,-40.77,-22,229.06,-43.3,-0.05,5,49.398,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,3002,2020-02-14 12:43:55:460
-0.0852,6.6493,6.7627,-0.0484,6.7297,7.133,0.0467,0.0212,0.002,-0.0008,-0.0016,0.009,7294,16.71,-40.64,-22.16,228.91,-43.28,0.44,5,49.21,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,3503,2020-02-14 12:43:55:961
-0.0136,6.645,6.9373,-0.0161,6.7327,7.1303,-0.0358,0.1373,-0.1486,-0.0131,-0.0105,0.0028,7294,17.07,-40.77,-22.05,229.11,-43.36,0.13,5,49.214,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,4002,2020-02-14 12:43:56:460
-0.255,6.5553,6.9488,-0.0134,6.7257,7.1368,-0.2148,-0.0106,0.0197,0.0037,-0.0139,-0.0127,7219,16.89,-40.73,-22.1,229.01,-43.29,0.1,5,49.075,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,4502,2020-02-14 12:43:56:960
-0.0084,6.6391,6.9783,0.0073,6.7337,7.1293,0.0398,0.1026,-0.0215,0.0024,-0.0081,-0.0048,7502,17.05,-40.82,-22.17,229.08,-43.31,-0.05,5,51.064,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,5002,2020-02-14 12:43:57:460
-0.396,6.4992,6.964,0.0049,6.7285,7.1343,-0.2681,-0.039,-0.0134,0.0009,-0.0115,0.0125,7441,16.81,-40.64,-22.6,230.44,-43.32,-0.04,5,55.392,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,5503,2020-02-14 12:43:57:961
-0.0209,7.0696,6.4892,0.0757,6.7287,7.1336,-0.1181,0.277,-0.3082,0.0227,0.0275,0.0058,7683,16.7,-41.06,-22.4,229.22,-43.31,-0.6,5,50.057,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,6002,2020-02-14 12:43:58:460
-1.3027,5.8388,8.9259,0.0257,6.7067,7.1547,-0.5827,-0.0948,0.1081,0.0222,-0.0351,0.0235,7611,16.8,-41.08,-22.58,230.21,-43.15,-0.21,5,57.169,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,6502,2020-02-14 12:43:58:960
-1.0773,6.5619,8.3857,0.049,6.7282,7.1344,-0.0131,0.2113,-0.4694,0.0435,0.0172,-0.001,7470,16.66,-41.07,-22.91,230.28,-43.16,-0.4,5,51.878,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,7003,2020-02-14 12:43:59:461
-0.7818,5.9371,8.5742,-0.0454,6.699,7.1619,-0.5062,-0.5499,0.3563,0.0287,0.0067,-0.0354,7160,17.22,-40.68,-22.34,228.72,-43.09,0.08,5,52.307,23.550348,87.29063,106.45,NaN,0,10.374194,,27 / 37,7502,2020-02-14 12:43:59:960
-0.0115,6.3146,8.5002,0.007,6.7175,7.1446,0.2483,-0.2385,0.3248,0.0022,-0.0092,-0.0197,7160,16.83,-40.59,-22.73,230.31,-43.24,-0.06,5,56.017,23.550348,87.29063,106.45,NaN,0,10.374194,,26 / 37,8003,2020-02-14 12:44:00:461
-1.2228,6.597,6.5285,-0.0321,6.7899,7.0757,-0.1925,0.34,-0.2615,0.0467,-0.0045,-0.0121,7397,17.13,-40.57,-23,231.16,-43.82,0.26,5,59.627,23.550348,87.29063,106.45,NaN,0,10.374194,,26 / 37,8503,2020-02-14 12:44:00:961
-0.0098,6.5104,8.1628,-0.0399,6.9531,6.9155,0.1644,1.0144,-0.5266,0.0239,0.0084,0.0232,7955,17.18,-40.71,-22.52,233.68,-45.3,0.06,5,60.166,23.550348,87.29063,106.45,NaN,0,10.374194,,26 / 37,9003,2020-02-14 12:44:01:461
-0.8193,6.0358,5.9354,-0.2651,7.0762,6.7844,-0.347,-0.1403,1.2193,0.1123,-0.1177,-0.254,7787,17.25,-39.55,-23.48,235.98,-45.76,0.74,5,60.421,23.550348,87.29063,106.45,NaN,0,10.374194,,26 / 37,9502,2020-02-14 12:44:01:960
-0.0893,5.6828,7.7531,-0.129,7.2026,6.654,-0.2942,1.2336,-1.9723,-0.1182,-0.0362,0.1298,8442,16.18,-39.14,-24.65,243.07,-47.26,1.11,5,62.43,23.550352,87.29061,103.23,NaN,3.78,10.374194,283.2,27 / 37,10002,2020-02-14 12:44:02:460
4.145,7.0378,-1.7285,0.4109,7.1839,6.6629,-0.3825,-0.7752,1.1632,0.019,0.1496,0.0806,8110,15.47,-41.15,-24.18,235.97,-47.07,-2.81,5,64.831,23.550352,87.29061,103.23,NaN,3.78,10.374194,283.2,27 / 37,10503,2020-02-14 12:44:02:961
-0.4202,2.8273,1.5032,0.2088,7.3717,6.4641,2.2905,1.1133,-0.8901,0.015,0.0585,-0.1272,7517,16.37,-40.7,-22.82,236.67,-47.63,-2.53,5,64.235,23.550358,87.29059,103.23,NaN,7.49,10.374194,288.6,27 / 36,11002,2020-02-14 12:44:03:460
-2.5528,9.7291,7.2465,-0.0925,7.3743,6.4638,0.3421,-1.2997,2.8862,-0.3149,-0.0972,-0.1111,7574,16.94,-39.23,-23.6,245.81,-48.76,0.82,5,67.113,23.550358,87.29059,103.23,NaN,7.49,10.374194,288.6,27 / 36,11502,2020-02-14 12:44:03:960
0.8843,6.7294,8.9953,0.1755,7.3129,6.5315,-0.1673,-0.2739,1.3629,-0.1335,-0.1117,-0.0488,8434,15.93,-38.87,-24.86,248.46,-49.56,-1,5,66.668,23.550365,87.290565,103.23,NaN,9.04,10.374194,285.7,28 / 37,12003,2020-02-14 12:44:04:461
