,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,k
0,0.7503,1.9964,9.1582,0.4366,1.8513,9.6204,0.2431,0.1326,-0.24600000000000002,-0.1333,-0.1338,0.1794,616.9231,-14.24,22.7,-28.25,24.44,-10.88,-2.6,2,36.03,23.547017999999998,87.29244,120.08,,3.64,51.870968,258.7,0 / 39,12,2020-02-12 14:26:32:566,0.0
1,0.7359,2.267,10.0919,0.9144,1.3877,9.6648,0.1383,0.4075,-0.4834,-0.0779,-0.0645,-0.0188,627.7462,-15.11,23.72,-27.32,23.5,-8.82,-5.79,2,35.192,23.547017999999998,87.29244,120.08,,3.64,51.870968,258.7,0 / 39,512,2020-02-12 14:26:33:066,-0.01861386322907694
2,0.6809,2.6237,9.862,0.1513,1.9271,9.6143,0.5775,0.8307,1.4816,0.6635,0.2476,-0.4886,630.4521,-15.08,22.61,-27.57,26.84,-8.4,-2.76,2,36.593,23.547048999999998,87.292465,118.75,,3.89,34.580647,278.6,13 / 39,1012,2020-02-12 14:26:33:566,-0.2525564324552278
3,0.9801,2.0443,8.9714,0.6817,1.7133,9.6317,0.2834,0.3563,-0.7054,-0.1791,-0.04,0.2262,611.5114,-16.37,21.01,-27.1,29.08,-10.91,-3.33,2,37.985,23.547048999999998,87.292465,118.75,,3.89,34.580647,278.6,13 / 39,1512,2020-02-12 14:26:34:066,-0.09323399193749113
4,1.2315,0.8041,8.1119,0.7531,2.4668,9.4614,0.0699,-1.5084,-1.681,-0.3602,-0.0049,0.4574,592.5708,-10.77,19.5,-29.17,17.89,-14.57,-4.55,2,39.856,23.547134,87.29269000000001,120.5,,4.14,13.832258,295.2,16 / 39,2012,2020-02-12 14:26:34:566,0.044564018674339456
5,0.9323,2.8105,11.9139,0.7602,2.2036,9.5256,0.5004,0.9079999999999999,1.1895,0.0265,-0.1167,0.0579,584.4534,-11.54,20.34,-27.88,21.75,-12.15,-3.61,2,38.15,23.547134,87.29269000000001,120.5,,4.14,13.832258,295.2,16 / 39,2512,2020-02-12 14:26:35:066,0.04724190174861895
6,0.609,2.1928,11.8828,0.5173,1.9094,9.6051,0.2312,0.5402,1.7762,0.264,0.4511,-0.0742,560.1012,-14.89,17.53,-23.64,30.53,-9.7,-4.75,2,41.39,23.54714,87.2927,120.55,,3.38,13.832258,310.5,17 / 33,3012,2020-02-12 14:26:35:566,0.02684989613565848
7,-0.0853,2.2023,8.3513,0.8482,1.3107,9.6816,-0.4748,0.5832,-1.0356,-0.4369,-0.2094,-0.1285,543.8664,-15.96,15.59,-23.06,36.6,-10.59,-2.66,2,40.688,23.54714,87.2927,120.55,,3.38,13.832258,310.5,17 / 33,3516,2020-02-12 14:26:36:070,0.004400851719002681
8,0.0512,0.4617,9.1127,0.4866,1.8583,9.6167,-0.2891,-0.8108,-0.7631,-0.5285,-0.2478,-0.0497,519.5141,-17.38,14.2,-24.24,40.51,-10.92,-2.9,2,44.066,23.547153,87.2927,120.18,,3.85,13.832258,318.3,19 / 32,4012,2020-02-12 14:26:36:566,-0.0024712331396001194
9,0.0584,0.7132,10.6857,0.5928,2.0949,9.5619,-0.0689,-1.3945,-1.1943,0.2129,0.4937,0.1517,530.3374,-14.78,13.45,-25.71,38.39,-11.19,-1.81,2,41.873000000000005,23.547153,87.2927,120.18,,3.85,13.832258,318.3,19 / 32,4511,2020-02-12 14:26:37:065,0.015026234161689613
10,0.2571,2.0802,12.600999999999999,0.413,1.754,9.6397,1.0197,-1.5230000000000001,-0.5941,0.5431,0.2934,0.2752,514.1025,-17.36,13.64,-25.43,41.24,-9.7,-2.49,2,38.879,23.547165,87.29271,122.6,,2.59,13.832258,324.9,20 / 32,5011,2020-02-12 14:26:37:565,0.04175430142057977
11,0.8221,2.9398,11.8037,0.5358,1.9821,9.5893,0.2272,1.4886,0.8285,0.4441,0.2465,0.1357,519.5141,-18.66,11.51,-30.47,43.86,-10.47,-4.1,2,41.633,23.547165,87.29271,122.6,,2.59,13.832258,324.9,20 / 32,5512,2020-02-12 14:26:38:066,0.05058356537577685
12,0.4558,2.2383,8.6458,0.9412,1.2789,9.6772,0.0683,0.9815,-0.9356,-0.0481,0.1198,0.0291,516.8083,-15.93,15.23,-30.07,34.47,-7.49,-5.55,2,40.704,23.547173,87.29271999999999,120.51,,3.06,13.832258,355.5,20 / 32,6012,2020-02-12 14:26:38:566,0.048720005615580944
13,0.6426,1.192,7.5301,0.8311,1.7422,9.6148,-0.2641,-0.8043,-1.8284,-0.2729,0.1581,0.1261,535.7489,-17.88,12.77,-33.42,34.57,-12.93,-6.57,2,41.176,23.547173,87.29271999999999,120.51,,3.06,13.832258,355.5,20 / 32,6512,2020-02-12 14:26:39:066,0.054961910891640695
14,0.8628,1.3596,6.8358,0.7565,2.1538,9.5373,-0.122,-0.8589,-2.7874,-0.5381,0.0633,0.2166,674.3693,-17.33,15.58,-36.08,30.66,-12.69,-4.54,2,38.81,23.547179999999997,87.292725,120.16,,4.21,13.832258,45.6,21 / 32,7012,2020-02-12 14:26:39:566,0.06716556664420067
15,1.028,2.7602,11.6002,0.9161,2.1595,9.522,0.428,-1.2822,-1.6264,0.7093,-0.1146,-0.2787,1645.9606,-20.45,15.48,-35.78,37.62,-9.83,-5.64,2,40.306,23.547179999999997,87.292725,120.16,,4.21,13.832258,45.6,21 / 32,7513,2020-02-12 14:26:40:067,0.042587140128786866
16,0.5731,2.9038,10.3648,0.7326,1.6382,9.6411,0.3803,0.6937,2.6349,0.2459,0.1389,0.0217,2712.4631,-20.53,16.7,-34.29,38.98,-9.62,-4.35,2,38.71,23.547183999999998,87.29275,121.47,,3.82,13.832258,67.3,21 / 32,8012,2020-02-12 14:26:40:566,0.04118311796076663
17,1.3608,2.4465,8.6458,1.0969,1.4582,9.6354,0.0972,0.8511,-0.7579,-0.3464,0.1123,0.0963,4233.5405,-22.06,19.08,-33.74,34.16,-10.49,-7.77,2,40.39,23.547183999999998,87.29275,121.47,,3.82,13.832258,67.3,21 / 32,8512,2020-02-12 14:26:41:066,0.04470303478758417
18,1.1525,0.6246,8.5979,1.054,1.5862,9.62,-0.0284,-1.0319,-1.1696,-0.1013,0.2114,-0.0582,8031.158,-22.03,18.88,-34.6,36.1,-9.31,-6.25,2,40.849000000000004,23.547188000000002,87.29276,122.16,,2.77,13.832258,69.1,21 / 32,9012,2020-02-12 14:26:41:566,0.03843501962024411
